random_seed,phase_error_sd_radians,trial,minimum_gap_over_candidates,all_nine_positive
20260907,0.05,1,0.10785461356993878,1
20260907,0.05,2,0.10770014659389446,1
20260907,0.05,3,0.10773536003304993,1
20260907,0.05,4,0.10767851080604891,1
20260907,0.05,5,0.10777591183839608,1
20260907,0.05,6,0.10765135952768928,1
20260907,0.05,7,0.10773526186014964,1
20260907,0.05,8,0.10761868886565343,1
20260907,0.05,9,0.10768863944504137,1
20260907,0.05,10,0.10783710359266749,1
20260907,0.05,11,0.10764806943614133,1
20260907,0.05,12,0.10769426905231651,1
20260907,0.05,13,0.10782830612512394,1
20260907,0.05,14,0.10772259885954896,1
20260907,0.05,15,0.10783189087748526,1
20260907,0.05,16,0.10773760735047477,1
20260907,0.05,17,0.10775293629655855,1
20260907,0.05,18,0.10750929727696831,1
20260907,0.05,19,0.10760281557813067,1
20260907,0.05,20,0.10774677398285483,1
20260907,0.05,21,0.10746178463570552,1
20260907,0.05,22,0.10773103329852085,1
20260907,0.05,23,0.10765866074170724,1
20260907,0.05,24,0.10760867844208907,1
20260907,0.05,25,0.10777916321839387,1
20260907,0.05,26,0.10778848842594041,1
20260907,0.05,27,0.10774287159347135,1
20260907,0.05,28,0.1077184546877015,1
20260907,0.05,29,0.1078127010981909,1
20260907,0.05,30,0.10761766652635843,1
20260907,0.05,31,0.10760161456020129,1
20260907,0.05,32,0.10771331799926917,1
20260907,0.05,33,0.10775876398004969,1
20260907,0.05,34,0.10779265412117604,1
20260907,0.05,35,0.1078543212961775,1
20260907,0.05,36,0.10781373449312481,1
20260907,0.05,37,0.10782674410123655,1
20260907,0.05,38,0.10779257259019182,1
20260907,0.05,39,0.10782034401841187,1
20260907,0.05,40,0.10781995334032721,1
20260907,0.05,41,0.10777528321590785,1
20260907,0.05,42,0.10763682338656837,1
20260907,0.05,43,0.10777041488117281,1
20260907,0.05,44,0.10777316967249566,1
20260907,0.05,45,0.10778980128127008,1
20260907,0.05,46,0.10776511616533851,1
20260907,0.05,47,0.10778199924419313,1
20260907,0.05,48,0.10770863183804205,1
20260907,0.05,49,0.1076358324145606,1
20260907,0.05,50,0.10753120835422457,1
20260907,0.05,51,0.10779603390576997,1
20260907,0.05,52,0.10780528263168701,1
20260907,0.05,53,0.10768517538286643,1
20260907,0.05,54,0.1077791547478491,1
20260907,0.05,55,0.10774269829839775,1
20260907,0.05,56,0.10773895509080764,1
20260907,0.05,57,0.10782039066660457,1
20260907,0.05,58,0.10774590334556067,1
20260907,0.05,59,0.10780468918380616,1
20260907,0.05,60,0.10777279581831911,1
20260907,0.05,61,0.10766360905726355,1
20260907,0.05,62,0.10775512320799341,1
20260907,0.05,63,0.10766922442280763,1
20260907,0.05,64,0.10766728298693268,1
20260907,0.05,65,0.10777505699721163,1
20260907,0.05,66,0.10771778727794797,1
20260907,0.05,67,0.10770032854155531,1
20260907,0.05,68,0.1078168292183961,1
20260907,0.05,69,0.10782409690333888,1
20260907,0.05,70,0.10783610047504649,1
20260907,0.05,71,0.10779114087061833,1
20260907,0.05,72,0.10784440647831534,1
20260907,0.05,73,0.10780119186599152,1
20260907,0.05,74,0.10779452208972778,1
20260907,0.05,75,0.10773942403758235,1
20260907,0.05,76,0.10773445003719523,1
20260907,0.05,77,0.10772721072652616,1
20260907,0.05,78,0.10770212906256232,1
20260907,0.05,79,0.1078074569844604,1
20260907,0.05,80,0.10777338480211887,1
20260907,0.05,81,0.10769284587405936,1
20260907,0.05,82,0.10760910387555728,1
20260907,0.05,83,0.10769599505378966,1
20260907,0.05,84,0.10760020077318344,1
20260907,0.05,85,0.10775834501830725,1
20260907,0.05,86,0.10766318274347031,1
20260907,0.05,87,0.10759268207731795,1
20260907,0.05,88,0.10772077268489762,1
20260907,0.05,89,0.10779945422529764,1
20260907,0.05,90,0.1077144381040395,1
20260907,0.05,91,0.10777491952104733,1
20260907,0.05,92,0.10779651836408535,1
20260907,0.05,93,0.10764586077567792,1
20260907,0.05,94,0.10775920270974597,1
