previous_label,following_label,label_kl_rate_contribution,timing_kl_rate_contribution,total_kl_rate_contribution
cold_down,cold_down,-5.0096708598753577e-05,1.6245983831443377e-05,-3.3850724767310196e-05
cold_down,cold_up,1.3627614054714707e-16,-7.607258580878405e-16,-6.244497175406935e-16
cold_down,hot_down,5.1251734114667304e-05,1.529867344583874e-05,6.655040756050605e-05
cold_down,hot_up,4.3274488770333537e-16,-1.7655795763856597e-15,-1.3328346886823244e-15
cold_up,cold_down,-0.0019524216143789728,0.004733681496513566,0.0027812598821345936
cold_up,cold_up,2.415888394358849e-16,-2.9399105987229045e-16,-5.240222043640556e-17
cold_up,hot_down,0.002058920116764222,0.003741192093310603,0.005800112210074825
cold_up,hot_up,5.199146922478435e-16,-6.312634110896682e-16,-1.1134871884182465e-16
hot_down,cold_down,-4.862939053458408e-05,1.5770143677212654e-05,-3.285924685737142e-05
hot_down,cold_up,1.3228465191779018e-16,-7.384444183550733e-16,-6.061597664372831e-16
hot_down,hot_down,4.975058568815502e-05,1.4850579738032394e-05,6.460116542618741e-05
hot_down,hot_up,4.200699154613485e-16,-1.7138662627045316e-15,-1.293796347243183e-15
hot_up,cold_down,-0.0006266349059513487,0.007501164065824606,0.006874529159873257
hot_up,cold_up,5.940369497984553e-16,-7.086650824170761e-16,-1.146281326186207e-16
hot_up,hot_down,0.0006315910203263788,0.00830836817936217,0.008939959199688548
hot_up,hot_up,1.2755095835022669e-15,-1.519990999413348e-15,-2.444814159110812e-16
