hidden_ring_states,cycle_affinity,coherence_bound,minimum_extra_decay_at_omega_4
4,2.0,0.2449186624037092,16.331952660294384
5,2.0,0.27166382230476627,14.724080542136365
6,2.0,0.2860315855683621,13.984469554478599
7,2.0,0.29464425288501994,13.575693266825516
8,2.0,0.3002147033987931,13.323797784436167
9,2.0,0.30402516499139265,13.156805622038705
10,2.0,0.30674654624049824,13.040081621208811
11,2.0,0.3087578265496293,12.95513718534693
12,2.0,0.3102863109205729,12.89131959490124
13,2.0,0.3114750841349237,12.84211869180295
14,2.0,0.3124178768241731,12.803364649492115
15,2.0,0.3131781770426097,12.772282020965264
16,2.0,0.3138002305727715,12.746963227843723
17,2.0,0.314315639704613,12.726060986844667
18,2.0,0.31474746454591807,12.708601182127857
19,2.0,0.31511285176483106,12.69386499978491
20,2.0,0.31542476556101845,12.681312429242992
21,2.0,0.3156931549850872,12.67053129545667
22,2.0,0.31592575804847417,12.661202507540581
23,2.0,0.31612866628668784,12.653075872507294
24,2.0,0.31630672800447296,12.645952949642712
25,2.0,0.31646384081766366,12.639674692896975
26,2.0,0.3166031669145768,12.634112409492248
27,2.0,0.3167272935202938,12.629161053793764
28,2.0,0.3168383539465465,12.624734190718703
29,2.0,0.3169381199165157,12.620760169378284
30,2.0,0.3170280726994109,12.617179185240754
31,2.0,0.31710945843674215,12.613941002324063
32,2.0,0.31718333155173667,12.611003171040053
33,2.0,0.31725058908783293,12.60832962202183
34,2.0,0.31731199807973404,12.605889547847735
35,2.0,0.31736821752720185,12.603656507152161
36,2.0,0.31741981615459114,12.601607701933464
37,2.0,0.31746728685519104,12.599723390790034
38,2.0,0.31751105850926475,12.597986409608101
39,2.0,0.31755150570770974,12.596381777769933
40,2.0,0.3175889567950532,12.594896372865016
41,2.0,0.3176237005557722,12.593518660606474
42,2.0,0.31765599179932036,12.592238469491884
43,2.0,0.3176860560463985,12.591046801927606
44,2.0,0.3177140934780492,12.589935675221657
45,2.0,0.31774028227718953,12.588897987163268
46,2.0,0.3177647814671101,12.587927401935874
47,2.0,0.31778773333166405,12.587018252920853
48,2.0,0.317809265486146,12.58616545959189
49,2.0,0.3178294926553164,12.585364456211648
50,2.0,0.3178485182049637,12.584611130452437
51,2.0,0.3178664354652916,12.583901770392385
52,2.0,0.3178833288778522,12.583233018605434
53,2.0,0.31789927499241233,12.582601832279966
54,2.0,0.31791434333578034,12.582005448477705
55,2.0,0.31792859717105076,12.581441353789055
56,2.0,0.3179420941627816,12.58090725776015
57,2.0,0.3179548869611937,12.580401069564939
58,2.0,0.3179670237164652,12.579920877477049
59,2.0,0.31797854853251944,12.57946493076379
60,2.0,0.3179895018683101,12.579031623680871
4,3.0,0.358357398350786,11.162041075218747
5,3.0,0.40095741298359544,9.976121828588449
6,3.0,0.42421156700503365,9.429257264813188
7,3.0,0.43828093549408575,9.126566263920866
8,3.0,0.44743392477623445,8.939867494402518
9,3.0,0.4537195555498314,8.816018509831864
10,3.0,0.4582210169142698,8.729411904623253
11,3.0,0.4615545611040423,8.666364363146942
12,3.0,0.4640917206852997,8.618985906694073
13,3.0,0.4660672743974216,8.58245197578311
14,3.0,0.467635475163061,8.553670994710634
15,3.0,0.4689010484639039,8.530584465749858
16,3.0,0.4699371145224588,8.511777164195095
17,3.0,0.47079597764640857,8.496249309513432
18,3.0,0.4715158514003205,8.483277896428492
19,3.0,0.4721251792980285,8.472329321531493
20,3.0,0.47264548546630264,8.463002658437919
21,3.0,0.4730933002191662,8.454991854982836
22,3.0,0.4734814883443416,8.448059952643769
23,3.0,0.4738201828026171,8.442021140467777
24,3.0,0.47411745231856783,8.436728031079374
25,3.0,0.4743797861295478,8.43206248865681
26,3.0,0.4746124509574767,8.427928917436647
27,3.0,0.474819757292145,8.424249283163038
28,3.0,0.4750052603898522,8.420959373622663
29,3.0,0.47517191365767,8.418005957485391
30,3.0,0.47532218688997696,8.415344602724977
31,3.0,0.4754581582687293,8.412937985048092
32,3.0,0.47558158657550387,8.41075456432743
33,3.0,0.47569396833390903,8.408767540210299
34,3.0,0.4757965833719408,8.406954021511144
35,3.0,0.47589053141047305,8.405294360752585
36,3.0,0.4759767616423438,8.403771617332993
37,3.0,0.4760560967956369,8.40237112164774
38,3.0,0.476129252826043,8.401080119018493
39,3.0,0.47619685512262755,8.399887477144178
40,3.0,0.47625945191503416,8.398783444435681
41,3.0,0.4763175254210977,8.39775944935833
42,3.0,0.4763715011598249,8.39680793301273
43,3.0,0.47642175576685425,8.395922208803315
44,3.0,0.47646862358139674,8.395096344296146
45,3.0,0.4765124022204938,8.394325061342482
46,3.0,0.4765533573146843,8.393603651308798
47,3.0,0.47659172654622123,8.392927902855797
48,3.0,0.4766277231048021,8.392294040186307
49,3.0,0.4766615386548872,8.39169867006216
50,3.0,0.4766933458919363,8.39113873619452
51,3.0,0.47672330075137676,8.390611479857371
52,3.0,0.47675154432319283,8.390114405771856
53,3.0,0.4767782045161306,8.389645252470155
54,3.0,0.4768033975082518,8.389201966478803
55,3.0,0.47682722901461827,8.388782679768841
56,3.0,0.4768497953979856,8.388385690008619
57,3.0,0.4768711846443405,8.388009443227892
58,3.0,0.47689147722175296,8.387652518562442
59,3.0,0.47691074683822765,8.387313614798526
60,3.0,0.4769290611119032,8.386991538478442
4,4.0,0.46211715726000985,8.65581365495461
5,4.0,0.522954882349876,7.64884339931232
6,4.0,0.5568763966853478,7.182922500951539
7,4.0,0.5776581228772879,6.924510954812145
8,4.0,0.5912859564533121,6.764916291929284
9,4.0,0.6006949555309375,6.658953871960705
10,4.0,0.607458773700881,6.584808999679773
11,4.0,0.6124815806823574,6.530808641696057
12,4.0,0.6163124114176208,6.490214907078273
13,4.0,0.6193000780565077,6.458904401486322
14,4.0,0.6216747013077193,6.434233195569691
15,4.0,0.6235930208386147,6.414439973399247
16,4.0,0.6251647567707411,6.3983133352907
17,4.0,0.6264685588331287,6.384997209517538
18,4.0,0.6275619878485544,6.373872346400455
19,4.0,0.6284879497169161,6.364481613055083
20,4.0,0.6292789520279389,6.35648147313595
21,4.0,0.6299599859616771,6.349609640513478
22,4.0,0.6305505181485168,6.343663013306508
23,4.0,0.6310658931591763,6.3384823096295335
24,4.0,0.631518337723959,6.3339411717105625
25,4.0,0.6319176908258641,6.329938310118096
26,4.0,0.6322719419328895,6.326391754427349
27,4.0,0.6325876328784862,6.323234587749774
28,4.0,0.6328701614705351,6.320411742442736
29,4.0,0.6331240133533461,6.317877565271881
30,4.0,0.6333529408590968,6.3155939476246745
31,4.0,0.6335601022566101,6.31352887556023
32,4.0,0.633748171108501,6.311655295199548
33,4.0,0.6339194228493515,6.3099502173647455
34,4.0,0.6340758038491748,6.30839400544523
35,4.0,0.6342189868966067,6.306969804819322
36,4.0,0.6343504160694083,6.305663082535654
37,4.0,0.6344713432499092,6.304461253539165
38,4.0,0.6345828580168641,6.30335337531872
39,4.0,0.6346859122518016,6.302329897016941
40,4.0,0.6347813405014063,6.301382452169194
41,4.0,0.634869876912174,6.300503686605607
42,4.0,0.6349521693811583,6.299687114855453
43,4.0,0.635028791433729,6.298926999780664
44,4.0,0.6351002522361615,6.298218251238551
45,4.0,0.635167005070383,6.297556340409652
46,4.0,0.6352294545349696,6.296937227081617
47,4.0,0.6352879626865546,6.2963572976961375
48,4.0,0.6353428542961336,6.295813312375114
49,4.0,0.6353944213630891,6.295302359468221
50,4.0,0.6354429270043442,6.2948218164251495
51,4.0,0.6354886088155717,6.294369316005883
52,4.0,0.635531681784793,6.293942717012337
53,4.0,0.6355723408252124,6.293540078862608
54,4.0,0.6356107629831032,6.2931596394416855
55,4.0,0.635647109367527,6.292799795754638
56,4.0,0.6356815268412274,6.2924590869840875
57,4.0,0.6357141495058856,6.292136179616318
58,4.0,0.6357451000098278,6.2918298543522635
59,4.0,0.6357744907020313,6.291538994562589
60,4.0,0.6358024246527331,6.291262576082102
4,5.0,0.5545997223493824,7.212408947944102
5,5.0,0.6360497003922116,6.288816734814045
6,5.0,0.6826333838624569,5.8596606825281725
7,5.0,0.7116133068101439,5.621030356964906
8,5.0,0.730805934015865,5.473409305832435
9,5.0,0.7441463422490422,5.375286785541071
10,5.0,0.7537821352268794,5.306573097273057
11,5.0,0.7609627475311751,5.256499103244378
