sigma_level,two_sided_alpha,gaussian_llr_cycles,gaussian_llr_time,hoeffding_fourier_cycles,hoeffding_fourier_time
3.0,0.002699796,192.31600926046872,383.1795498735792,4543.7417886981575,9053.166920581556
5.0,5.733031e-07,534.2111368346353,1064.38763853772,10359.306750736789,20640.37473018422
Stein,0.1,47.24621135898722,94.13559521843722,,
Stein,0.05,61.46873815952267,122.47323303886965,,
Stein,0.01,94.49242271797443,188.27119043687443,,
Stein,0.001,141.73863407696163,282.40678565531164,,
