hidden_cycle_affinity,phases_per_macrostate,ring_bound,ring_mode_real,ring_mode_imaginary,ring_coherence_ratio,bound_saturation,killed_mode_real,killed_mode_imaginary,killed_coherence_ratio,real_shift_error,imaginary_shift_error,theorem_decay_lower_bound_at_mode_frequency,actual_killed_decay
20.0,5,2.3439457957939402,-1.625299997642923,3.3315802723381127,2.0498248182918277,0.874518865568524,-2.5252999976429287,3.331580272338113,1.3192809865947621,-5.773159728050814e-15,4.440892098500626e-16,2.321355510147214,2.5252999976429287
20.0,10,2.9176929016077118,-1.3405142852409964,3.6029134930622386,2.6877098832367237,0.9211764136505721,-2.2405142852410096,3.602913493062239,1.6080743232907697,-1.3322676295501878e-14,4.440892098500626e-16,2.1348501417256616,2.2405142852410096
20.0,15,3.0589893615507777,-1.2834448351779546,3.642193915782749,2.837826617828685,0.9277007149805933,-2.1834448351779434,3.6421939157827654,1.66809523057446,1.1102230246251565e-14,1.6431300764452317e-14,2.0906526912327434,2.1834448351779434
40.0,5,2.9669718125822406,-1.360856241666203,3.4835898353918733,2.5598514587599945,0.862782533997882,-2.260856241666211,3.4835898353918733,1.5408276613043426,-7.993605777301127e-15,0.0,2.074122996591601,2.260856241666211
40.0,10,4.808516255733372,-0.8748643507498991,3.7811742656866705,4.322012049577283,0.8988244647034285,-1.7748643507499016,3.781174265686665,2.1304018327310894,-2.4424906541753444e-15,-5.329070518200751e-15,1.6863494817508897,1.7748643507499016
40.0,15,5.544809339745299,-0.7726840351691756,3.8411957186775973,4.971237328381691,0.8965569461059314,-1.6726840351691736,3.841195718677589,2.296426365000306,1.9984014443252818e-15,-8.43769498715119e-15,1.5927552388760826,1.6726840351691736
60.0,5,3.0624636340096276,-1.327700037762201,3.500967695481844,2.636866457714817,0.8610278432147179,-2.227700037762201,3.500967695481846,1.571561537072417,0.0,2.220446049250313e-15,2.043186699950488,2.227700037762201
60.0,10,5.714881157455746,-0.7619105057841857,3.8133829367973,5.005027372437172,0.8757885307741727,-1.661910505784181,3.813382936797305,2.294577790756513,4.884981308350689e-15,4.884981308350689e-15,1.5672724824421398,1.661910505784181
60.0,15,7.246084365969181,-0.608742503878983,3.8774710217384105,6.36964068884739,0.8790458911521982,-1.5087425038789708,3.877471021738412,2.5700018470808965,1.2212453270876722e-14,1.3322676295501878e-15,1.4351125968045213,1.5087425038789708
