previous_label,following_label,frequency,weighted_moment_real,weighted_moment_imaginary,optimal_phase_gap_contribution
cold_down,cold_down,4.054799999999999,-0.0002755147961961049,-0.00012127066080705513,0.000301023215210324
cold_down,cold_up,4.054799999999999,9.911325013781974e-18,1.140701030753142e-18,9.97675109293509e-18
cold_down,hot_down,4.054799999999999,0.00027551479619623555,0.00012127066080705085,0.00030102321521044184
cold_down,hot_up,4.054799999999999,2.2520926699233446e-17,-1.9777418138271537e-18,2.26076005377485e-17
cold_up,cold_down,4.054799999999999,0.018417526776222534,0.0010940891413467393,0.018449995219568128
cold_up,cold_up,4.054799999999999,1.7897794721774967e-18,-2.2984994297278045e-18,2.913144381503773e-18
cold_up,hot_down,4.054799999999999,-0.018417526776221115,-0.0010940891413472355,0.01844999521956674
cold_up,hot_up,4.054799999999999,3.842746367147368e-18,-4.9474777261490214e-18,6.264521968431828e-18
hot_down,cold_down,4.054799999999999,-0.0002674450477293447,-0.0001177186783269049,0.0002922063325494244
hot_down,cold_up,4.054799999999999,9.621025178935355e-18,1.107290228425851e-18,9.68453494720709e-18
hot_down,hot_down,4.054799999999999,0.0002674450477294715,0.00011771867832690074,0.00029220633254953873
hot_down,hot_up,4.054799999999999,2.186129528846957e-17,-1.9198143297496043e-18,2.1945430475394506e-17
hot_up,cold_down,4.054799999999999,-0.03463278389998023,-0.0042059588978606115,0.0348872442436089
hot_up,cold_up,4.054799999999999,3.942361368117947e-18,-5.6612318534627646e-18,6.898678080291199e-18
hot_up,hot_down,4.054799999999999,0.03463278389998602,0.004205958897860064,0.03488724424361458
hot_up,hot_up,4.054799999999999,8.43606831058755e-18,-1.2305859484969341e-17,1.491983331692112e-17
