restart,random_seed,log_rate_perturbation_sd,initial_kl_rate,final_kl_rate,difference_from_reported,iterations,objective_evaluations,forward_rates
1,20260906,0.05,0.024544053121153035,0.024476546306416765,1.6244253228055172e-05,300,432,15.4796710009 13.8842865943 16.4392158441 20.4307115031 23.9923038838 28.1339600708 29.4393435284 31.5457586066 29.7689595165 28.9717937729 25.9493344907 24.0357115929 20.4747547292 17.8443315715 15.1950999984 10.5854170911 11.197109333 18.1407959905 27.8699143795 36.2218217154 50.8921843979 47.6937047798 44.0524732594 39.4280615783 33.2736306076 29.9091396475 23.3014789665 19.6442188545 16.3850427025 13.2831446939
2,20260906,0.15,0.0249322476254309,0.024474309202743575,1.4007149554864928e-05,300,421,15.0343073081 14.4886896617 15.9112850729 19.4963988885 23.6750053146 27.7047461236 30.206878438 30.0446799239 29.4837039111 26.0459009679 27.4615388635 23.2482805925 21.5692017677 17.4420554164 15.5631963694 11.4572044369 11.4253124953 17.7865884551 26.175115735 38.2176702194 40.1168510495 43.8842427716 49.7266467578 36.2492078918 33.2706987647 27.8002272661 24.3981208321 21.0131559925 15.9645971484 13.7286130149
3,20260906,0.3,0.026230753136339227,0.024687392733542174,0.00022709068035346378,300,401,15.6873931065 13.706095181 15.9003687117 18.7168037386 25.9665681838 27.899555335 41.0886661089 26.770279407 31.8504772674 30.1657173599 25.0440372534 25.9882059273 17.4501771422 19.5177146808 16.0868560283 10.2095957739 11.3863434705 17.2686374834 34.3013180797 32.9413487033 100 42.1089301786 52.1893301703 36.3530564465 51.5700584887 22.1638119083 24.3219918051 17.5323376955 17.5562898475 12.9720090315
